Feature,VIF
median_income,9.210675729148035
Housing_Density,7.278158987892259
Building_Age,6.186325272279767
fault_nearby,6.107752238259636
median_home_value,5.673134257773187
Income_to_Home_Value,5.394092101952179
Earthquake_Risk,5.103003274123383
ZHVI_value,5.057660518161493
lat_norm,3.370245723518066
ZHVI_to_Census_Ratio,3.173707001432431
Fire_Risk,2.7972827774624016
km_to_fault,2.6681534320923186
population,2.419644605821019
median_year_built,2.3104286080328045
High_Risk_Dense_Area,1.6104592509911009
Wealth_Risk_Score,1.3550883811698924
population_density,1.3437309070771708
total_wildfire_days,1.327520397582989
